City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Magadi,IN,82.45,clear sky,12.9667,77.2333,Gobi centre
3,Butaritari,KI,81.45,broken clouds,3.0707,172.7902,Isles Sunset Lodge
5,Panama City,PA,76.95,broken clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
11,Arraial Do Cabo,BR,75.87,clear sky,-22.9661,-42.0278,Pousada Porto Praia
21,Rikitea,PF,77.23,clear sky,-23.1203,-134.9692,People ThankYou
25,Vila Velha,BR,75.94,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
27,Yulara,AU,85.59,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
28,Vaini,TO,78.3,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,Simao,CN,83.34,clear sky,22.7886,100.9748,Changyu Hotel
33,Luanda,AO,76.75,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
36,Hilo,US,81.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,Atuona,PF,79.02,few clouds,-9.8,-139.0333,Villa Enata
50,Vao,NC,75.51,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
51,Garissa,KE,77.7,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
54,Weligama,LK,82.09,scattered clouds,5.9667,80.4167,Weligama Bay Resort
59,Meulaboh,ID,81.25,broken clouds,4.1363,96.1285,Kost Pria
60,Touros,BR,78.26,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
61,La Asuncion,VE,76.51,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
69,Lamu,KE,82.62,light rain,-2.2717,40.902,Lamu House
70,Kavaratti,IN,84.76,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
76,Hithadhoo,MV,83.14,moderate rain,-0.6,73.0833,Scoop Guest House
77,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
80,Tura,IN,81.37,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
82,Kavieng,PG,86.27,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
85,Cockburn Town,TC,75.31,clear sky,21.4612,-71.1419,Osprey Beach Hotel
86,Boa Vista,BR,75.18,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
89,Harper,LR,79.97,broken clouds,4.375,-7.7169,Screensaver
91,Nelson Bay,AU,77.05,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
92,Cotonou,BJ,79.59,light rain,6.3654,2.4183,Novotel Cotonou Orisha
97,Cacoal,BR,75.33,scattered clouds,-11.4386,-61.4472,Hotel BR 364
100,Tabou,CI,79.88,overcast clouds,4.423,-7.3528,hotêl doufoulougou
107,High Rock,BS,75.34,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
108,Ballina,AU,78.01,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
111,Alofi,NU,79.18,light rain,-19.0595,-169.9187,Taloa Heights
122,Saint George,US,81.25,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
126,Almeirim,BR,75.11,light rain,-1.5233,-52.5817,Ricácio Hotel
127,Kieta,PG,86.63,few clouds,-6.2167,155.6333,Uruna Bay Retreat
128,Ranong,TH,86.47,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
129,Katherine,AU,89.92,overcast clouds,-14.4667,132.2667,Pine Tree Motel
130,Mandera,KE,77.86,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
131,Bandarbeyla,SO,80.82,overcast clouds,9.4942,50.8122,JABIR HOTEL
