City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,Magadi,12.9667,77.2333,82.45,71,0,9.01,IN,clear sky
1,Tromso,69.6496,18.957,26.62,68,75,18.41,NO,light snow
2,Cherskiy,68.75,161.3,31.86,100,100,4.27,RU,light snow
3,Butaritari,3.0707,172.7902,81.45,80,70,15.35,KI,broken clouds
4,Bluff,-46.6,168.3333,55.8,67,96,6.53,NZ,overcast clouds
5,Panama City,8.9936,-79.5197,76.95,90,75,3.44,PA,broken clouds
6,Nikolskoye,59.7035,30.7861,31.87,76,26,4.12,RU,scattered clouds
7,Thinadhoo,0.5333,72.9333,83.82,73,99,6.15,MV,overcast clouds
8,New Norfolk,-42.7826,147.0587,70.92,83,60,2.57,AU,broken clouds
9,Katangli,51.7102,143.2326,30.6,84,100,30.85,RU,overcast clouds
10,Ushuaia,-54.8,-68.3,29.8,95,99,5.21,AR,light snow
11,Arraial Do Cabo,-22.9661,-42.0278,75.87,87,0,21.7,BR,clear sky
12,Puerto Ayora,-0.7393,-90.3518,71.73,92,11,5.41,EC,few clouds
13,Los Llanos De Aridane,28.6585,-17.9182,60.55,83,20,11.5,ES,few clouds
14,Ust-Kan,50.9276,84.761,43.97,60,6,2.64,RU,clear sky
15,Mataura,-46.1927,168.8643,55.47,64,78,2.86,NZ,broken clouds
16,Cape Town,-33.9258,18.4232,59.92,87,0,11.99,ZA,clear sky
17,Tiksi,71.6872,128.8694,9.73,89,84,1.59,RU,broken clouds
18,Barrow,71.2906,-156.7887,6.82,78,100,16.11,US,haze
19,Lasa,46.6166,10.7002,41.36,73,0,3.13,IT,clear sky
20,Busselton,-33.65,115.3333,61.52,65,79,13.69,AU,broken clouds
21,Rikitea,-23.1203,-134.9692,77.23,66,0,22.84,PF,clear sky
22,Saskylakh,71.9167,114.0833,13.75,91,54,5.95,RU,broken clouds
23,Jacareacanga,-6.2222,-57.7528,74.23,92,100,2.28,BR,overcast clouds
24,Ribeira Grande,38.5167,-28.7,63.91,95,100,31.25,PT,moderate rain
25,Vila Velha,-20.3297,-40.2925,75.94,90,4,5.93,BR,clear sky
26,Lisakovsk,52.5369,62.4936,57.72,51,68,12.3,KZ,broken clouds
27,Yulara,-25.2406,130.9889,85.59,25,100,9.44,AU,overcast clouds
28,Vaini,-21.2,-175.2,78.3,57,53,20.07,TO,broken clouds
29,Kaitangata,-46.2817,169.8464,57.79,61,67,2.57,NZ,broken clouds
30,Simao,22.7886,100.9748,83.34,24,2,3.58,CN,clear sky
31,Katsuura,35.1333,140.3,62.62,62,100,18.43,JP,light rain
32,Shakawe,-18.3667,21.85,65.89,75,70,5.61,BW,broken clouds
33,Luanda,-8.8368,13.2343,76.75,89,100,7.36,AO,overcast clouds
34,Fukue,32.6881,128.8419,63.68,70,38,15.28,JP,scattered clouds
35,Mar Del Plata,-38.0023,-57.5575,56.88,59,54,4.0,AR,broken clouds
36,Hilo,19.7297,-155.09,81.28,91,76,1.99,US,broken clouds
37,Dongsheng,39.8161,109.9776,46.13,47,6,3.24,CN,clear sky
38,Hami,42.8,93.45,62.67,17,100,14.56,CN,overcast clouds
39,Urumqi,43.801,87.6005,52.75,58,20,4.47,CN,few clouds
40,Hermanus,-34.4187,19.2345,57.65,73,0,6.87,ZA,clear sky
41,Volosovo,59.4333,29.4833,27.14,62,62,4.63,RU,broken clouds
42,Qaanaaq,77.484,-69.3632,13.84,67,70,7.67,GL,broken clouds
43,Teguldet,57.3064,88.1667,48.2,71,90,6.87,RU,overcast clouds
44,Chemodanovka,53.2316,45.2474,44.37,80,92,8.34,RU,overcast clouds
